17,17,-8.9907,-10.172,-8.068,1
16,16,-7.1845,-8.5111,-5.8266,1
14,14,-5.2278,-6.0933,-4.0839,1
3,3,-3.8203,-5.1418,-2.9167,1
7,7,-3.6669,-5.2542,-2.5868,1
11,11,-3.5674,-4.5568,-2.2445,1
6,6,-3.1358,-3.7959,-2.4484,1
5,5,-2.876,-3.7218,-2.3922,1
15,15,-2.7985,-3.3486,-2.187,1
8,8,-2.2223,-2.87,-1.8378,1
2,2,-1.873,-2.2731,-1.4067,1
9,9,-1.7206,-2.3579,-1.0157,1
12,10,-1.6838,-4.2531,0.0025617,0.5
13,13,-1.4573,-2.0596,-1.0194,1
16,11,-1.174,-3.0839,0.0012065,0.5
12,4,-0.0018643,-0.0037286,0,0
14,10,-0.001732,-0.0038673,0.00041693,0
10,5,-0.0015884,-0.0037676,0.0012903,0
12,1,-0.0014845,-0.002969,0,0
16,3,-0.0014192,-0.0044358,0.0033302,0
16,4,-0.0014047,-0.0054543,0.0036502,0
16,9,-0.001399,-0.0041548,0.0010199,0
12,2,-0.0013805,-0.0027609,0,0
14,11,-0.0013768,-0.0047664,0.0025597,0
10,6,-0.0013231,-0.0043496,0.0026041,0
15,3,-0.0013025,-0.0033913,0,0
9,2,-0.0012037,-0.002952,0,0
14,2,-0.0011565,-0.0024879,0,0
8,7,-0.0011021,-0.0047373,0.0046157,0
17,7,-0.0010981,-0.0046893,0.0023903,0
5,2,-0.00098959,-0.0061929,0.0030229,0
16,8,-0.00080266,-0.0058106,0.0059442,0
12,11,-0.00079185,-0.0043032,0.00085275,0
10,7,-0.00073763,-0.0036528,0.0020088,0
15,5,-0.00070352,-0.0034625,0.0013846,0
8,1,-0.00066277,-0.0051595,0.0033136,0
14,4,-0.00065893,-0.0029529,0,0
12,9,-0.00058949,-0.0030086,0.00095453,0
8,5,-0.00055852,-0.0059678,0.0037462,0
11,6,-0.00050886,-0.0076718,0.0034767,0
17,8,-0.00049222,-0.0057002,0.0039796,0
17,6,-0.00047555,-0.0048379,0.0031049,0
9,6,-0.00046915,-0.0047917,0.0034616,0
15,8,-0.0004343,-0.0049298,0.0042776,0
6,4,-0.00043349,-0.004664,0.0024029,0
16,14,-0.00042914,-0.0030641,0.0040855,0
6,3,-0.00039645,-0.0048033,0.0029477,0
10,9,-0.00034749,-0.001421,0.0016727,0
15,10,-0.00034243,-0.00078944,0,0
11,1,-0.00034036,-0.0025524,0.0047037,0
10,2,-0.00032654,-0.000845,0,0
